Date,Fuel_Type,Liters_Sold,Price_per_Liter,Payment_Mode,Location,Pump_ID,Customer_Age,Vehicle_Type,Stock_Level,Pump_Efficiency,Maintenance_Issue,Maintenance_Cost,Total_Sales
4/12/2024,CNG,255,93.92,Cash,Aurangabad,BP004,22,Truck,4882,73.72,None,2253.44,23949.6
12/14/2024,CNG,477,110.15,Cash,Nashik,BP002,26,Auto,2408,97.66,Sensor Error,1859.49,52541.55
9/27/2024,Diesel,598,111.88,UPI,Mumbai,BP001,61,Car,4020,75.19,None,2305.27,66904.24
4/16/2024,CNG,198,107.25,Cash,Nagpur,BP004,23,Car,4807,87.19,Low Pressure,4172.86,21235.5
3/12/2024,Petrol,528,96.2,Card,Aurangabad,BP002,45,Auto,4996,87.53,Low Pressure,3297.4,50793.6
7/7/2024,Diesel,281,105.13,Cash,Mumbai,BP001,62,Truck,3605,81.09,None,296.24,29541.53
1/21/2024,Diesel,44,99.37,UPI,Nashik,BP002,43,Car,997,80.58,Motor Fault,4788.02,4372.28
4/12/2024,Diesel,400,102.82,Card,Nagpur,BP002,45,Bike,4087,90.06,Sensor Error,738.92,41128
5/1/2024,Petrol,498,109.36,Card,Nagpur,BP004,57,Car,4693,81.65,None,3727.84,54461.28
8/2/2024,CNG,287,112.36,Card,Nagpur,BP002,32,Truck,2913,77.65,Motor Fault,3180.68,32247.32
11/26/2024,Petrol,461,96.97,Card,Mumbai,BP001,23,Bike,4300,81.97,None,937.64,44703.17
3/28/2024,Diesel,54,102.16,Cash,Mumbai,BP004,44,Car,962,94.23,Leak,853.66,5516.64
4/9/2024,Petrol,161,98.07,UPI,Mumbai,BP003,55,Truck,3260,98.99,Low Pressure,4351.64,15789.27
12/25/2024,Petrol,316,95.96,Card,Mumbai,BP003,21,Truck,3957,89.08,Leak,2098.47,30323.36
5/31/2024,CNG,597,113.5,Card,Aurangabad,BP004,28,Car,772,93.46,Leak,3272.88,67759.5
5/10/2024,CNG,492,117.28,UPI,Pune,BP003,38,Truck,1650,85.98,Sensor Error,2520.36,57701.76
5/29/2024,Diesel,429,101.11,Cash,Aurangabad,BP002,47,Auto,3889,88.74,Motor Fault,3636.77,43376.19
11/4/2024,Petrol,333,112.54,Card,Nagpur,BP001,35,Bike,518,99.64,Low Pressure,2396.21,37475.82
